Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase
2019-01-01,1546275600,27.7,24.0,25.8,19.2,66.9,2.7,100.0,29.17,rain,36.4,18.4,3.2,1012.5,57.3,10.9,81.2,7.0,3.0,0.83
2019-01-02,1546362000,25.0,23.5,24.1,20.8,81.5,26.5,100.0,83.33,rain,56.9,14.4,3.5,1012.0,66.1,9.0,38.0,3.2,1.0,0.87
2019-01-03,1546448400,28.3,23.7,26.2,21.8,77.1,0.1,100.0,4.17,rain,62.6,17.8,47.6,1012.0,65.6,9.7,109.7,9.5,5.0,0.9
2019-01-04,1546534800,32.1,25.5,28.3,22.6,72.4,1.2,100.0,33.33,rain,60.1,30.3,88.8,1012.6,50.4,10.7,196.2,17.0,7.0,0.94
2019-01-05,1546621200,32.6,25.0,28.2,22.0,70.2,0.0,0.0,0.0,,45.4,27.3,97.8,1012.6,36.5,10.9,223.0,19.2,8.0,0.97
2019-01-06,1546707600,33.0,24.3,28.2,22.4,72.5,0.0,0.0,0.0,,53.6,24.3,91.0,1012.6,36.2,10.7,233.7,20.0,8.0,0.0
2019-01-07,1546794000,33.0,23.3,28.0,20.5,65.9,0.0,0.0,0.0,,43.6,19.2,88.4,1012.0,25.5,10.7,251.1,21.4,9.0,0.04
2019-01-08,1546880400,30.8,23.0,26.8,21.5,73.7,0.9,100.0,16.67,rain,47.9,16.0,93.9,1012.3,46.1,10.7,201.7,17.2,8.0,0.07
2019-01-09,1546966800,33.5,22.8,27.8,21.1,69.2,0.0,0.0,0.0,,40.0,18.9,101.3,1012.4,38.6,10.9,236.1,20.3,8.0,0.1
2019-01-10,1547053200,32.8,24.3,28.1,21.1,67.3,0.0,0.0,0.0,,43.2,20.1,91.8,1011.8,40.5,10.9,236.3,20.4,8.0,0.14
2019-01-11,1547139600,33.5,24.0,28.0,21.0,67.3,0.0,0.0,0.0,,40.7,18.3,86.6,1011.6,40.9,10.8,224.3,19.3,8.0,0.17
2019-01-12,1547226000,32.0,25.5,28.2,21.9,69.3,0.0,0.0,0.0,,36.0,16.6,93.7,1011.5,52.7,10.6,96.1,8.5,5.0,0.2
2019-01-13,1547312400,33.0,24.9,28.5,21.2,66.9,0.0,0.0,0.0,,31.7,13.0,87.7,1011.0,44.2,10.5,244.6,21.1,9.0,0.24
2019-01-14,1547398800,32.3,23.7,27.6,20.9,68.5,0.0,0.0,0.0,,23.4,10.3,63.3,1010.0,37.3,10.8,236.4,20.5,8.0,0.25
2019-01-15,1547485200,31.7,24.0,27.2,22.8,78.2,0.7,100.0,12.5,rain,27.4,13.8,124.3,1010.4,53.1,9.8,175.5,15.2,7.0,0.3
2019-01-16,1547571600,31.8,25.3,28.2,22.1,70.7,0.3,100.0,8.33,rain,42.8,16.0,86.5,1010.5,49.9,10.5,197.8,16.9,8.0,0.33
2019-01-17,1547658000,32.8,24.3,27.8,21.9,72.0,0.0,0.0,0.0,,53.6,19.3,79.0,1010.5,50.6,9.7,221.9,19.0,8.0,0.37
2019-01-18,1547744400,32.5,23.0,27.6,20.2,65.9,0.0,0.0,0.0,,40.7,15.2,60.7,1010.9,47.7,11.0,233.4,20.2,8.0,0.4
2019-01-19,1547830800,32.0,22.0,27.4,20.3,67.0,0.0,0.0,0.0,,34.6,15.2,96.7,1010.9,44.9,10.9,242.5,20.9,9.0,0.43
2019-01-20,1547917200,31.8,24.0,27.7,21.7,71.1,0.1,100.0,4.17,rain,35.3,12.2,94.8,1010.9,43.1,10.6,230.4,20.1,9.0,0.47
2019-01-21,1548003600,32.3,23.8,27.7,22.3,74.2,0.4,100.0,12.5,rain,33.8,14.0,33.8,1011.5,41.2,10.5,208.4,18.0,8.0,0.5
2019-01-22,1548090000,32.0,23.5,27.3,21.8,73.7,1.3,100.0,16.67,rain,26.3,14.4,99.3,1012.5,40.0,9.9,215.3,18.7,8.0,0.53
2019-01-23,1548176400,30.1,22.5,26.0,19.9,70.5,0.1,100.0,4.17,rain,32.4,9.9,64.8,1012.8,39.9,10.9,232.8,20.0,8.0,0.57
2019-01-24,1548262800,31.3,20.7,25.8,18.0,65.2,0.0,0.0,0.0,,33.1,11.7,103.6,1012.9,34.1,9.8,255.5,22.1,9.0,0.6
2019-01-25,1548349200,31.8,20.5,26.0,18.4,67.2,0.0,0.0,0.0,,31.0,12.6,42.2,1013.9,26.6,9.9,261.5,22.8,9.0,0.64
2019-01-26,1548435600,32.0,21.8,26.3,20.2,71.9,0.0,0.0,0.0,,26.6,9.4,41.2,1013.3,34.6,9.6,237.0,20.5,8.0,0.67
2019-01-27,1548522000,32.0,22.3,26.4,19.8,69.1,0.0,0.0,0.0,,29.5,10.8,58.6,1013.3,31.5,9.8,229.4,19.8,8.0,0.7
2019-01-28,1548608400,31.8,22.5,26.6,20.8,72.0,0.0,0.0,0.0,,32.0,13.2,90.9,1012.8,35.8,9.4,243.2,21.0,9.0,0.75
2019-01-29,1548694800,31.9,23.5,27.3,20.6,68.7,0.1,100.0,4.17,rain,36.0,16.5,100.4,1012.6,37.4,10.4,246.2,21.2,9.0,0.77
2019-01-30,1548781200,34.0,24.5,28.2,19.1,60.3,0.0,0.0,0.0,,47.2,16.6,85.8,1012.4,40.0,10.7,251.3,21.6,9.0,0.81
2019-01-31,1548867600,32.3,23.5,27.5,18.9,60.6,0.0,0.0,0.0,,41.0,14.7,95.9,1013.0,40.4,10.6,248.2,21.3,9.0,0.84
2019-02-01,1548954000,33.1,23.3,27.2,20.8,69.1,0.0,0.0,0.0,,37.8,15.2,109.1,1012.7,45.9,10.9,238.7,20.7,9.0,0.87
2019-02-02,1549040400,32.3,25.2,27.7,20.5,65.4,0.0,0.0,0.0,,40.0,15.2,107.7,1012.0,47.8,10.9,245.2,21.0,9.0,0.91
2019-02-03,1549126800,32.8,25.0,27.9,20.9,66.6,0.0,0.0,0.0,,37.4,15.6,120.2,1012.7,36.0,11.0,244.2,21.1,9.0,0.94
2019-02-04,1549213200,32.5,24.8,27.8,22.1,72.5,0.0,0.0,0.0,,37.8,16.4,117.4,1013.1,47.1,10.9,230.9,20.1,8.0,0.98
2019-02-05,1549299600,31.8,25.0,27.6,21.2,69.2,0.1,100.0,4.17,rain,40.7,16.7,124.7,1013.0,50.6,11.0,219.5,19.0,8.0,0.0
2019-02-06,1549386000,32.8,24.0,27.5,21.7,71.9,0.0,0.0,0.0,,42.5,17.4,131.5,1011.9,50.4,10.8,241.2,20.7,9.0,0.04
2019-02-07,1549472400,32.1,24.0,27.6,22.8,76.9,0.0,0.0,0.0,,31.7,18.5,139.9,1012.3,45.1,10.4,234.0,20.2,9.0,0.08
2019-02-08,1549558800,33.3,24.0,27.6,23.3,79.4,0.0,0.0,0.0,,30.2,12.2,136.4,1011.9,40.2,10.4,251.7,21.8,9.0,0.11
2019-02-09,1549645200,32.0,24.0,27.2,22.9,79.1,0.1,100.0,4.17,rain,31.3,16.6,132.9,1012.5,50.2,10.9,218.6,19.0,7.0,0.15
2019-02-10,1549731600,33.0,23.3,27.5,20.5,68.0,0.0,0.0,0.0,,43.9,22.7,123.5,1014.0,29.7,10.7,264.6,22.7,9.0,0.18
2019-02-11,1549818000,34.0,21.7,27.8,20.4,67.2,0.0,0.0,0.0,,50.4,24.6,114.7,1014.5,36.3,10.6,263.6,22.8,9.0,0.21
2019-02-12,1549904400,34.3,25.8,28.8,20.3,61.7,0.0,0.0,0.0,,58.3,24.5,89.5,1014.9,38.3,10.7,241.0,20.7,9.0,0.25
2019-02-13,1549990800,33.6,23.5,28.0,19.1,60.5,0.0,0.0,0.0,,45.4,21.5,97.1,1014.8,31.2,10.9,276.2,23.9,9.0,0.25
2019-02-14,1550077200,33.8,23.3,28.2,19.8,62.7,0.0,0.0,0.0,,46.4,21.8,110.1,1013.2,31.8,10.8,266.0,23.0,9.0,0.32
2019-02-15,1550163600,33.6,24.5,28.3,18.4,57.7,0.0,0.0,0.0,,49.0,24.1,105.1,1013.6,28.4,10.8,279.9,24.2,10.0,0.35
2019-02-16,1550250000,33.8,22.0,27.7,20.6,68.4,0.0,0.0,0.0,,42.8,20.6,123.2,1013.1,30.9,10.7,274.2,23.6,9.0,0.38
2019-02-17,1550336400,32.5,23.6,27.8,22.1,73.0,0.1,100.0,4.17,rain,37.1,16.6,144.2,1012.3,40.2,10.6,251.8,21.8,9.0,0.42
2019-02-18,1550422800,32.5,24.0,27.8,22.9,77.0,0.4,100.0,16.67,rain,34.9,18.2,138.6,1012.1,52.0,10.3,234.1,20.0,8.0,0.45
2019-02-19,1550509200,32.3,24.0,27.9,22.7,75.6,0.0,0.0,0.0,,38.9,20.4,125.9,1012.9,43.2,11.0,245.9,21.2,9.0,0.5
2019-02-20,1550595600,33.7,24.0,28.3,22.7,73.8,0.0,0.0,0.0,,40.0,18.6,121.5,1014.1,43.6,10.9,252.9,21.8,8.0,0.52
2019-02-21,1550682000,32.9,25.0,28.5,23.3,74.8,0.1,100.0,4.17,rain,42.1,17.4,123.9,1013.3,38.8,10.6,262.2,22.6,9.0,0.55
2019-02-22,1550768400,31.1,25.0,27.8,23.2,76.4,0.3,100.0,12.5,rain,42.8,18.9,131.3,1011.8,55.3,10.7,218.7,18.9,8.0,0.58
2019-02-23,1550854800,32.0,24.6,27.6,21.5,70.8,0.0,0.0,0.0,,44.3,19.6,128.8,1010.8,43.3,10.6,245.0,21.2,9.0,0.62
2019-02-24,1550941200,32.8,24.0,27.6,21.2,69.4,0.0,0.0,0.0,,32.8,15.6,139.1,1010.8,28.9,10.8,268.3,23.2,10.0,0.65
2019-02-25,1551027600,32.6,25.0,27.9,21.4,69.2,0.0,0.0,0.0,,47.2,22.1,120.9,1011.3,32.1,10.6,283.5,24.4,10.0,0.68
2019-02-26,1551114000,33.8,24.6,28.1,20.5,65.6,0.0,0.0,0.0,,50.0,18.9,115.6,1011.0,41.7,10.6,272.7,23.5,9.0,0.75
2019-02-27,1551200400,34.0,24.3,28.3,20.4,64.9,0.0,0.0,0.0,,47.2,21.1,106.0,1009.4,26.6,10.9,280.4,24.2,10.0,0.75
2019-02-28,1551286800,33.0,25.0,28.2,20.8,66.1,0.0,0.0,0.0,,46.4,18.9,121.2,1009.9,32.2,10.5,252.4,21.8,9.0,0.78
2019-03-01,1551373200,33.0,24.0,27.7,21.4,70.4,0.1,100.0,4.17,rain,47.2,18.8,125.3,1010.7,41.8,10.7,236.2,20.4,8.0,0.82
2019-03-02,1551459600,32.0,23.6,27.3,20.5,67.8,0.0,0.0,0.0,,41.0,17.9,132.7,1010.0,43.5,10.8,257.8,22.1,9.0,0.85
2019-03-03,1551546000,31.7,21.6,26.8,20.8,71.2,0.0,0.0,0.0,,35.3,14.8,145.4,1009.4,36.5,10.6,280.1,23.9,10.0,0.88
2019-03-04,1551632400,32.0,22.6,26.9,21.5,73.9,0.0,0.0,0.0,,33.1,15.7,144.2,1009.5,41.9,10.9,287.5,24.9,10.0,0.92
2019-03-05,1551718800,33.3,22.3,27.2,20.9,71.2,0.0,0.0,0.0,,34.2,15.3,160.7,1010.4,34.9,10.6,291.9,25.1,10.0,0.95
2019-03-06,1551805200,33.8,22.6,27.8,21.9,73.7,0.0,0.0,0.0,,23.8,14.4,185.2,1011.2,35.9,10.4,286.7,24.9,10.0,0.0
2019-03-07,1551891600,33.0,24.0,27.9,22.9,76.3,0.0,0.0,0.0,,31.3,16.8,169.3,1010.8,33.5,10.9,271.3,23.4,10.0,0.02
2019-03-08,1551978000,34.0,24.6,28.4,22.6,73.4,0.0,0.0,0.0,,31.7,17.4,150.2,1011.1,38.2,10.6,284.3,24.6,10.0,0.05
2019-03-09,1552064400,34.0,24.3,28.7,22.6,72.1,0.0,0.0,0.0,,31.3,14.3,154.2,1010.9,37.1,10.8,264.4,22.8,9.0,0.09
2019-03-10,1552150800,34.5,25.0,29.0,23.0,72.5,0.0,0.0,0.0,,23.4,15.9,175.9,1011.4,42.3,10.8,273.1,23.7,10.0,0.12
2019-03-11,1552237200,35.3,24.6,29.1,23.7,74.8,0.0,0.0,0.0,,26.3,14.0,196.7,1011.1,44.4,10.5,290.6,25.3,10.0,0.16
2019-03-12,1552323600,33.5,26.0,28.9,23.9,75.7,0.2,100.0,4.17,rain,28.4,14.8,161.5,1011.5,49.6,10.8,260.1,22.4,9.0,0.19
2019-03-13,1552410000,34.8,25.6,29.2,23.8,74.8,0.1,100.0,4.17,rain,33.8,15.8,130.7,1012.3,40.2,10.7,235.8,20.3,8.0,0.23
2019-03-14,1552496400,33.3,25.6,28.9,23.1,72.5,0.0,0.0,0.0,,36.4,14.0,136.6,1013.2,51.6,10.7,196.4,17.0,8.0,0.25
2019-03-15,1552582800,35.0,25.0,29.2,22.9,71.6,0.0,0.0,0.0,,42.1,17.9,129.0,1012.3,35.0,10.6,284.9,24.7,10.0,0.3
2019-03-16,1552669200,34.6,25.8,29.5,22.8,69.1,0.5,100.0,8.33,rain,40.0,16.6,127.0,1012.6,41.5,10.4,265.9,22.9,9.0,0.33
2019-03-17,1552755600,35.0,26.0,29.7,23.1,69.7,0.6,100.0,12.5,rain,40.0,16.2,109.9,1011.6,49.2,10.0,271.4,23.5,9.0,0.37
2019-03-18,1552842000,35.3,26.0,30.0,22.0,64.3,0.0,0.0,0.0,,42.5,18.4,118.3,1010.9,39.0,10.2,289.5,25.1,10.0,0.4
2019-03-19,1552928400,33.8,26.8,29.5,22.3,66.9,0.1,100.0,4.17,rain,43.2,19.5,136.2,1010.5,41.5,10.8,265.7,22.8,9.0,0.44
2019-03-20,1553014800,33.1,25.6,29.0,23.2,72.6,0.2,100.0,8.33,rain,39.6,16.1,137.3,1010.2,51.8,10.7,272.6,23.5,9.0,0.47
2019-03-21,1553101200,33.3,25.6,28.6,24.1,78.0,0.5,100.0,20.83,rain,33.8,16.6,158.6,1010.1,47.7,10.6,256.4,22.2,9.0,0.5
2019-03-22,1553187600,34.3,26.5,29.6,24.7,76.1,0.1,100.0,4.17,rain,25.2,12.6,188.3,1009.7,51.3,10.4,269.9,23.2,10.0,0.54
2019-03-23,1553274000,33.7,27.0,29.7,24.9,76.4,0.3,100.0,12.5,rain,30.6,17.4,139.0,1009.5,46.4,10.5,188.0,16.1,7.0,0.57
2019-03-24,1553360400,34.5,26.6,29.8,24.2,73.4,4.8,100.0,37.5,rain,46.4,21.8,114.3,1009.5,44.6,10.7,245.9,21.3,9.0,0.6
2019-03-25,1553446800,34.3,26.5,29.6,23.0,69.0,0.0,0.0,0.0,,47.9,21.0,113.6,1010.8,47.4,10.9,261.7,22.6,9.0,0.64
2019-03-26,1553533200,35.8,26.0,30.1,21.6,62.8,0.0,0.0,0.0,,47.2,21.8,109.1,1011.6,41.6,10.9,298.7,25.7,10.0,0.67
2019-03-27,1553619600,34.3,26.5,29.8,21.6,62.7,0.0,0.0,0.0,,45.7,20.0,111.5,1011.9,35.7,11.0,289.7,25.1,10.0,0.7
2019-03-28,1553706000,33.9,25.6,29.3,24.0,74.6,0.4,100.0,16.67,rain,46.4,17.0,147.4,1010.9,41.6,10.7,260.8,22.6,9.0,0.75
2019-03-29,1553792400,34.7,25.6,29.5,23.8,73.7,0.1,100.0,4.17,rain,25.2,11.3,176.8,1009.3,51.0,10.8,271.4,23.4,9.0,0.77
2019-03-30,1553878800,35.0,26.0,30.0,24.3,73.9,0.3,100.0,8.33,rain,31.3,19.5,169.5,1009.3,53.2,10.5,281.4,24.4,9.0,0.8
2019-03-31,1553965200,33.7,26.1,29.5,24.1,74.2,0.2,100.0,8.33,rain,34.6,16.1,139.5,1010.8,54.1,10.8,262.6,22.6,9.0,0.83
2019-04-01,1554051600,34.3,26.1,29.3,23.9,73.7,1.8,100.0,16.67,rain,40.7,25.8,122.4,1011.3,45.1,10.8,242.3,20.8,9.0,0.86
2019-04-02,1554138000,34.5,25.4,29.5,21.7,66.0,0.0,0.0,0.0,,44.6,20.0,114.4,1011.4,31.6,10.7,296.0,25.4,10.0,0.9
2019-04-03,1554224400,33.0,25.8,28.6,24.1,78.1,1.4,100.0,25.0,rain,40.7,15.3,139.5,1011.2,51.5,10.3,251.2,21.6,8.0,0.93
2019-04-04,1554310800,32.0,25.6,28.1,24.6,81.9,16.0,100.0,8.33,rain,32.0,13.9,121.4,1011.4,58.6,9.5,231.6,20.1,8.0,0.96
2019-04-05,1554397200,33.3,25.5,28.9,23.5,73.7,0.1,100.0,4.17,rain,28.8,14.1,124.6,1011.3,55.3,10.2,266.7,23.0,10.0,0.0
2019-04-06,1554483600,33.8,26.5,29.6,23.1,69.6,0.0,0.0,0.0,,38.9,16.2,128.8,1010.7,53.2,10.9,293.8,25.5,10.0,0.03
2019-04-07,1554570000,34.3,26.5,29.9,24.3,73.8,0.1,100.0,4.17,rain,39.6,17.6,127.3,1010.4,49.7,10.7,279.3,24.1,10.0,0.07
2019-04-08,1554656400,34.0,26.1,29.6,23.9,72.8,0.2,100.0,8.33,rain,32.8,14.0,138.1,1009.6,46.7,10.8,272.7,23.7,9.0,0.1
2019-04-09,1554742800,35.3,26.0,29.9,24.1,72.7,0.0,0.0,0.0,,32.4,13.9,138.5,1009.4,49.0,10.8,296.7,25.7,10.0,0.14
2019-04-10,1554829200,35.0,26.6,30.0,24.1,72.6,0.0,0.0,0.0,,26.6,12.6,151.0,1009.1,45.7,10.9,281.4,24.2,10.0,0.17
2019-04-11,1554915600,35.0,27.6,30.2,25.2,75.6,0.4,100.0,16.67,rain,28.4,14.7,170.7,1008.3,48.9,10.7,267.8,23.3,9.0,0.21
2019-04-12,1555002000,34.0,26.7,30.0,24.9,75.9,0.4,100.0,12.5,rain,29.9,13.6,169.6,1008.3,44.3,10.6,264.6,22.9,9.0,0.24
2019-04-13,1555088400,35.0,26.1,30.3,24.4,72.6,0.1,100.0,4.17,rain,34.6,16.8,158.7,1009.4,45.0,10.9,274.1,23.6,9.0,0.25
2019-04-14,1555174800,35.5,26.6,30.4,24.6,72.8,0.2,100.0,4.17,rain,33.8,16.1,157.3,1009.8,44.2,10.6,296.8,25.6,10.0,0.31
2019-04-15,1555261200,35.8,27.0,30.7,24.0,70.6,0.0,0.0,0.0,,30.6,14.8,161.7,1009.6,41.7,10.8,295.3,25.6,10.0,0.35
2019-04-16,1555347600,35.3,27.0,30.5,25.2,74.8,0.7,100.0,16.67,rain,29.9,13.5,153.8,1009.3,49.9,10.7,279.4,24.3,9.0,0.38
2019-04-17,1555434000,35.0,26.0,30.3,25.9,78.5,10.0,100.0,4.17,rain,31.7,14.5,168.4,1009.5,58.4,10.4,270.6,23.3,9.0,0.42
2019-04-18,1555520400,34.8,27.9,30.2,25.9,78.6,3.0,100.0,4.17,rain,29.2,15.3,175.5,1008.7,56.3,10.4,246.5,21.1,9.0,0.46
2019-04-19,1555606800,35.0,27.3,30.8,24.2,69.1,0.1,100.0,4.17,rain,27.4,11.2,175.8,1007.6,43.0,10.5,287.1,24.7,9.0,0.5
2019-04-20,1555693200,34.5,28.0,30.2,25.4,75.9,0.8,100.0,8.33,rain,33.5,15.9,184.3,1006.3,55.6,10.9,267.5,23.2,9.0,0.52
2019-04-21,1555779600,34.3,27.6,30.5,24.5,71.3,0.0,0.0,0.0,,35.6,14.3,166.5,1006.3,39.8,10.7,312.0,26.9,10.0,0.56
2019-04-22,1555866000,34.8,27.3,30.6,24.0,69.6,0.0,0.0,0.0,,36.0,17.2,129.6,1006.7,42.9,10.7,294.3,25.3,10.0,0.59
2019-04-23,1555952400,36.4,26.8,31.1,24.7,70.8,0.0,0.0,0.0,,38.2,16.2,126.6,1007.6,46.8,10.9,282.7,24.4,10.0,0.62
2019-04-24,1556038800,35.0,27.6,30.8,25.2,73.2,0.0,0.0,0.0,,42.8,15.5,132.5,1007.9,43.6,10.6,282.6,24.2,10.0,0.65
2019-04-25,1556125200,35.3,27.6,30.8,25.3,74.1,0.5,100.0,12.5,rain,38.2,14.3,147.0,1007.4,51.3,10.6,248.1,21.4,8.0,0.69
2019-04-26,1556211600,34.5,27.5,30.5,24.3,70.9,0.0,0.0,0.0,,33.1,15.6,139.0,1007.4,46.6,10.7,265.5,22.9,8.0,0.72
2019-04-27,1556298000,35.0,26.3,30.3,25.4,76.6,1.2,100.0,20.83,rain,33.8,15.5,152.2,1008.4,53.3,10.6,242.5,20.8,8.0,0.75
2019-04-28,1556384400,32.3,25.5,27.7,25.7,88.5,8.3,100.0,29.17,rain,42.5,16.1,155.0,1009.8,59.0,9.8,168.0,14.5,8.0,0.78
2019-04-29,1556470800,34.8,25.3,29.7,25.3,79.0,0.2,100.0,8.33,rain,31.3,15.7,125.0,1008.7,56.3,9.9,272.5,23.5,9.0,0.81
2019-04-30,1556557200,34.8,27.0,30.6,24.4,70.9,0.5,100.0,16.67,rain,22.3,14.8,183.2,1008.5,51.8,10.7,271.0,23.5,9.0,0.85
2019-05-01,1556643600,35.8,27.0,30.8,25.1,73.3,0.1,100.0,4.17,rain,24.1,14.7,231.6,1008.1,52.0,10.6,263.1,22.8,9.0,0.88
2019-05-02,1556730000,34.5,24.9,29.7,25.7,80.4,19.0,100.0,4.17,rain,23.4,16.2,202.0,1008.6,49.2,9.9,254.0,21.9,9.0,0.91
2019-05-03,1556816400,34.5,25.0,28.8,25.3,82.6,43.1,100.0,8.33,rain,33.5,15.2,211.8,1009.5,59.9,9.5,254.1,22.0,9.0,0.94
2019-05-04,1556902800,35.3,26.3,29.4,25.0,78.7,0.1,100.0,4.17,rain,29.9,22.6,176.7,1009.7,46.4,10.4,253.7,21.9,9.0,0.98
2019-05-05,1556989200,34.6,26.0,30.3,25.3,76.1,0.0,0.0,0.0,,29.5,14.8,236.0,1008.5,43.8,10.6,277.0,23.9,9.0,0.0
2019-05-06,1557075600,35.3,28.0,31.1,25.8,75.4,4.0,100.0,4.17,rain,39.6,22.3,225.0,1007.1,50.8,10.9,251.5,21.9,9.0,0.05
2019-05-07,1557162000,34.8,28.0,30.4,26.4,80.5,18.0,100.0,4.17,rain,40.7,14.6,222.8,1005.7,49.3,10.3,259.8,22.4,8.0,0.08
2019-05-08,1557248400,34.5,28.0,30.2,25.9,78.7,7.0,100.0,4.17,rain,37.4,18.0,213.8,1005.7,54.1,10.8,247.3,21.3,9.0,0.12
2019-05-09,1557334800,30.8,26.0,28.4,25.9,86.7,0.3,100.0,4.17,rain,33.8,19.3,225.1,1006.5,56.9,10.0,204.4,17.5,9.0,0.15
2019-05-10,1557421200,31.3,26.0,27.0,25.6,92.0,9.0,100.0,4.17,rain,63.0,25.6,228.9,1008.2,62.9,9.2,168.1,14.4,7.0,0.19
2019-05-11,1557507600,33.5,25.9,27.9,25.9,90.0,23.0,100.0,4.17,rain,35.3,17.8,237.0,1008.9,60.0,8.7,168.4,14.5,7.0,0.22
2019-05-12,1557594000,30.6,25.2,27.2,25.6,91.2,12.0,100.0,4.17,rain,38.5,16.5,212.1,1008.4,55.9,9.4,170.3,14.7,6.0,0.25
2019-05-13,1557680400,33.3,25.8,28.9,25.4,82.7,5.0,100.0,4.17,rain,48.2,19.8,213.5,1008.1,51.3,10.4,221.8,19.2,8.0,0.3
2019-05-14,1557766800,33.7,26.5,29.1,25.9,83.7,3.7,100.0,25.0,rain,31.3,16.9,193.3,1008.3,51.9,10.6,245.1,21.3,9.0,0.33
2019-05-15,1557853200,34.7,26.5,29.6,25.5,80.2,0.7,100.0,25.0,rain,26.3,14.2,192.2,1008.9,51.1,10.0,260.4,22.4,8.0,0.37
2019-05-16,1557939600,32.7,26.0,28.4,25.8,86.5,0.4,100.0,4.17,rain,35.3,16.5,232.0,1009.5,51.3,10.4,244.0,21.1,8.0,0.4
2019-05-17,1558026000,34.0,25.5,29.8,25.6,79.9,0.1,100.0,4.17,rain,36.0,15.2,245.6,1008.5,47.7,10.2,257.9,22.4,9.0,0.44
2019-05-18,1558112400,34.5,26.8,30.1,25.6,78.2,0.6,100.0,4.17,rain,36.4,18.0,235.5,1007.6,58.6,10.5,209.7,18.1,7.0,0.48
2019-05-19,1558198800,33.9,27.0,29.5,26.0,82.6,6.0,100.0,4.17,rain,29.9,21.5,217.2,1008.3,62.0,10.1,259.6,22.5,9.0,0.5
2019-05-20,1558285200,33.8,26.5,29.0,26.1,85.2,4.0,100.0,8.33,rain,51.8,15.1,222.1,1008.6,48.7,9.9,247.8,21.4,8.0,0.54
2019-05-21,1558371600,34.3,26.5,29.1,25.8,83.3,11.0,100.0,4.17,rain,31.3,15.2,227.5,1008.7,53.1,10.5,256.7,22.3,9.0,0.57
2019-05-22,1558458000,33.3,25.5,28.2,25.7,87.3,8.0,100.0,4.17,rain,29.5,13.4,233.1,1008.8,63.8,10.0,280.0,24.1,9.0,0.61
2019-05-23,1558544400,33.8,25.3,29.0,25.9,84.8,12.0,100.0,4.17,rain,28.8,15.2,229.0,1009.3,51.9,10.2,268.2,23.2,8.0,0.64
2019-05-24,1558630800,34.0,26.3,29.8,26.0,81.6,25.0,100.0,8.33,rain,25.6,14.4,236.4,1008.7,53.7,10.4,264.6,22.7,9.0,0.67
2019-05-25,1558717200,32.9,26.9,28.9,26.0,85.0,15.0,100.0,8.33,rain,53.6,19.8,228.0,1007.5,54.1,9.9,238.3,20.5,8.0,0.7
2019-05-26,1558803600,33.3,26.5,28.9,26.1,85.8,2.0,100.0,4.17,rain,34.6,20.9,235.9,1007.4,53.8,9.7,183.7,15.9,7.0,0.75
2019-05-27,1558890000,33.4,25.5,28.7,26.0,86.5,47.0,100.0,8.33,rain,32.0,19.2,184.3,1007.2,61.3,9.7,181.3,15.5,7.0,0.77
2019-05-28,1558976400,33.8,25.7,29.0,25.9,84.7,0.3,100.0,4.17,rain,25.6,17.9,193.0,1007.2,58.9,9.9,205.6,17.8,7.0,0.8
2019-05-29,1559062800,32.0,25.7,28.1,25.9,88.7,0.6,100.0,4.17,rain,19.8,15.1,3.2,1007.6,62.5,9.1,250.4,21.6,9.0,0.83
2019-05-30,1559149200,33.3,25.1,28.2,25.6,87.1,1.4,100.0,16.67,rain,51.8,18.6,230.5,1007.8,60.2,9.3,264.9,22.7,9.0,0.86
2019-05-31,1559235600,34.5,25.5,29.7,25.6,80.4,0.8,100.0,20.83,rain,28.1,13.2,141.4,1007.2,54.3,10.1,249.5,21.6,8.0,0.9
2019-06-01,1559322000,36.3,26.5,30.1,25.4,78.5,1.8,100.0,29.17,rain,24.1,10.5,144.1,1007.4,49.1,10.5,247.9,21.4,8.0,0.93
2019-06-02,1559408400,34.0,26.3,28.7,25.9,85.3,1.7,100.0,25.0,rain,23.4,14.8,293.8,1007.8,56.0,9.4,257.4,22.1,8.0,0.96
2019-06-03,1559494800,33.0,25.5,27.6,25.6,89.9,17.0,100.0,54.17,rain,25.2,27.5,191.5,1007.8,56.7,9.2,167.7,14.3,7.0,0.0
2019-06-04,1559581200,34.3,25.0,28.3,25.3,85.7,0.7,100.0,4.17,rain,20.2,16.0,36.4,1007.6,55.7,8.5,199.6,17.2,8.0,0.03
2019-06-05,1559667600,32.6,24.1,27.6,25.8,90.4,13.2,100.0,41.67,rain,31.7,11.1,103.1,1007.3,56.7,9.8,180.4,15.6,6.0,0.06
2019-06-06,1559754000,31.8,25.5,27.8,25.6,88.7,5.8,100.0,8.33,rain,40.7,18.3,115.0,1008.5,59.4,9.6,141.2,12.1,5.0,0.1
2019-06-07,1559840400,32.0,25.5,27.7,25.4,88.1,6.0,100.0,4.17,rain,33.5,14.1,190.2,1009.6,58.8,10.0,169.0,14.7,6.0,0.14
2019-06-08,1559926800,32.3,24.5,27.4,25.3,88.9,3.0,100.0,4.17,rain,31.7,17.5,210.9,1009.1,54.6,10.2,214.8,18.4,8.0,0.17
